¿Autor de 'Lolita'?,Nabokov,false
El libro más popular de José Emilio Pacheco,Las batallas en el desierto,false
¿Quién es el llamado 'Gran Cronopio'?,Cortázar,false
Principal exponente del realismo mágico en América Latina,Garcia Márquez,false
Nacionalidad de Carlos Fuentes,Mexicana,false
¿En qué año se publicó 'Las flores del mal' de Baudelaire?,1857,false
"Categoría a la que pertenecieron autores como Mallarmé, Rimbaud y Verlaine.",Poetas malditos,false
Género de los relatos del autor H.P. Lovecraft.,Terror,false
Autor latinoamericano al que le fue otrogado un premio nobel de literatura en 2010,Vargas Llosa,false
Escritor que define el concepto de 'lo real maravilloso'.,Carpentier,false
¿Escritora de 'La semana de colores'?,Garro,false
¿Cuál es el nombre de la poeta chilena más conocida en el mundo?,Mistral,false
¿Quién escribió 'El laberinto de la soledad'?,Paz,false
El real viceralismo es parte del argumento de la novela:,Los detectives salvajes,false
En México la corriente literaria más fuerte del siglo XX se llamó:,Generación del medio siglo,false
